index,total,female,male,white,black,american_indian/alaska_native,native_hawaiian/pacific_islander,hispanic,other_race,democrat,republican,unaffiliated,green,libertarian,constitution,justice_for_all,no_labels,we_the_people,date
ALAMANCE,110926,55668,45447,71870,21888,274,7,4398,16887,39209,36271,34695,31,654,66,0,0,0,2020-11-03
ALEXANDER,24953,12071,11217,21634,938,37,1,352,2343,5105,11775,7940,3,108,22,0,0,0,2020-11-03
ALLEGHANY,7609,3647,3359,6739,76,8,0,188,786,2156,2984,2429,4,34,2,0,0,0,2020-11-03
ANSON,16732,7542,6292,6709,6817,28,0,84,3178,10125,2867,3673,8,35,24,0,0,0,2020-11-03
ASHE,19545,9727,8723,17822,110,24,0,237,1589,4502,8875,6055,5,92,16,0,0,0,2020-11-03
AVERY,12355,6048,5465,11096,73,19,0,91,1167,1428,7161,3690,6,61,9,0,0,0,2020-11-03
BEAUFORT,34090,17098,14574,23194,7765,40,0,492,3091,11952,12094,9901,16,109,18,0,0,0,2020-11-03
BERTIE,13335,6993,5608,4624,7784,19,1,40,907,8767,1631,2893,3,38,3,0,0,0,2020-11-03
BLADEN,22855,11851,10109,12731,8003,405,1,460,1715,10752,4956,7072,5,63,7,0,0,0,2020-11-03
BRUNSWICK,114745,55501,48197,92044,8660,345,2,1418,13694,27185,45501,41391,30,585,53,0,0,0,2020-11-03
BUNCOMBE,207375,102842,87683,169162,10829,383,33,4141,26968,77672,47587,80083,252,1669,112,0,0,0,2020-11-03
BURKE,58309,28592,25762,48586,3224,90,0,1003,6409,15402,22702,19798,31,330,46,0,0,0,2020-11-03
CABARRUS,150595,72498,61687,95423,27505,369,6,5580,27292,44766,52563,51972,76,1109,109,0,0,0,2020-11-03
CALDWELL,54780,26821,24484,46972,2729,68,0,930,5011,11396,26552,16370,38,390,34,0,0,0,2020-11-03
CAMDEN,8167,3975,3741,6503,969,11,1,36,683,1759,2894,3448,2,62,2,0,0,0,2020-11-03
CARTERET,51774,25157,22281,44104,2213,85,4,529,5368,10076,23502,17875,13,278,30,0,0,0,2020-11-03
CASWELL,15513,7737,6754,9267,4851,22,1,169,1372,6924,3931,4597,4,47,10,0,0,0,2020-11-03
CATAWBA,108863,53186,47241,84405,9046,127,2,3574,15283,23167,47694,37337,33,565,67,0,0,0,2020-11-03
CHATHAM,57929,27635,23643,41836,6066,125,1,1814,9901,21343,14198,22048,20,296,24,0,0,0,2020-11-03
CHEROKEE,22680,11691,10608,21119,236,133,0,192,1192,4271,10919,7343,11,126,10,0,0,0,2020-11-03
CHOWAN,10259,5466,4423,6495,3040,12,2,69,710,4197,2891,3130,3,35,3,0,0,0,2020-11-03
CLAY,9131,4548,4157,8505,43,16,0,67,567,1634,4184,3244,3,61,5,0,0,0,2020-11-03
CLEVELAND,67725,33690,28717,46829,13701,97,2,713,7096,23065,24938,19309,17,344,52,0,0,0,2020-11-03
COLUMBUS,37050,19027,15939,22338,10872,959,0,321,2881,16971,9567,10391,7,95,19,0,0,0,2020-11-03
CRAVEN,72856,37180,31033,49561,14825,169,6,1727,8295,21922,26640,23713,42,496,43,0,0,0,2020-11-03
CUMBERLAND,226653,111528,89878,91440,89095,2416,49,13132,43653,98034,52493,74134,103,1701,188,0,0,0,2020-11-03
CURRITUCK,21832,10572,10071,18885,1102,48,2,168,1795,3659,8879,9067,14,198,15,0,0,0,2020-11-03
DARE,30128,14812,13406,26875,531,37,1,255,2684,7856,10135,11889,22,211,15,0,0,0,2020-11-03
DAVIDSON,113790,55565,49115,89547,10358,260,4,2219,13621,24025,54976,34121,39,558,71,0,0,0,2020-11-03
DAVIE,31481,15293,13810,25863,1889,36,1,567,3692,5131,16255,9902,10,157,26,0,0,0,2020-11-03
DUPLIN,30503,15269,12894,18021,8454,52,1,1656,3975,12476,9033,8852,6,113,23,0,0,0,2020-11-03
DURHAM,244574,120588,95656,111629,79223,605,22,10029,53095,132450,26851,83757,150,1287,79,0,0,0,2020-11-03
EDGECOMBE,35801,19229,14829,12345,20733,71,0,457,2652,23402,6502,5773,11,98,15,0,0,0,2020-11-03
FORSYTH,271904,135617,110648,160754,69553,536,15,10950,41046,106952,76441,86629,136,1587,159,0,0,0,2020-11-03
FRANKLIN,47720,22455,19746,29114,11235,135,2,1202,7234,17408,15170,14773,25,305,39,0,0,0,2020-11-03
GASTON,151667,75203,63471,105658,24951,341,1,4192,20716,42810,59738,47910,67,1008,134,0,0,0,2020-11-03
GATES,8364,4139,3641,5037,2633,18,0,45,676,3933,1979,2415,0,32,5,0,0,0,2020-11-03
GRAHAM,6081,3040,2864,5541,5,270,1,22,264,1412,2915,1724,0,24,6,0,0,0,2020-11-03
GRANVILLE,39986,19164,16332,22865,11931,78,1,862,5111,17566,10542,11669,13,171,25,0,0,0,2020-11-03
GREENE,11388,5880,4928,6146,4044,11,0,440,1187,5618,2459,3281,5,21,4,0,0,0,2020-11-03
GUILFORD,383792,199083,159465,197117,128273,1010,9,11356,57383,168552,94405,118150,220,2265,200,0,0,0,2020-11-03
HALIFAX,37958,19942,16134,14418,19651,1087,0,259,2802,23317,5067,9448,9,109,8,0,0,0,2020-11-03
HARNETT,82298,40076,33632,49701,17022,469,13,3953,15093,26030,29776,25693,38,682,79,0,0,0,2020-11-03
HAYWOOD,46445,23795,20813,42630,473,118,0,440,3224,14394,15811,15872,19,314,35,0,0,0,2020-11-03
HENDERSON,87557,44260,37242,75085,2407,150,2,2140,9913,17980,32632,36290,51,558,46,0,0,0,2020-11-03
HERTFORD,15048,8117,6285,4696,9234,97,2,103,1019,10285,1569,3140,6,38,10,0,0,0,2020-11-03
HOKE,33233,17502,14311,13250,12458,2046,11,2171,5468,14573,7405,10926,19,272,38,0,0,0,2020-11-03
HYDE,3171,1569,1416,2278,642,1,0,34,250,1541,583,1029,1,17,0,0,0,0,2020-11-03
IREDELL,130794,63333,56778,99735,14042,217,1,3467,16799,29274,54863,45753,55,777,72,0,0,0,2020-11-03
JACKSON,29791,14522,12801,24066,685,1461,1,628,3578,9620,8351,11571,20,217,12,0,0,0,2020-11-03
JOHNSTON,143707,71816,62478,98185,22568,398,11,6224,22545,40600,55354,46488,60,1054,151,0,0,0,2020-11-03
JONES,7398,3712,3239,4466,2294,15,0,76,623,3109,2156,2093,3,35,2,0,0,0,2020-11-03
LEE,38705,19322,16120,24492,7426,142,6,2771,6639,13844,11725,12848,12,238,38,0,0,0,2020-11-03
LENOIR,38541,19851,15957,19208,15617,66,0,652,3650,18772,10338,9275,8,132,16,0,0,0,2020-11-03
LINCOLN,62638,29849,27385,51519,3193,87,1,1576,7838,12433,29394,20372,20,362,57,0,0,0,2020-11-03
MACON,27162,14231,12470,24982,182,57,0,387,1941,5870,11773,9318,23,160,18,0,0,0,2020-11-03
MADISON,17264,8124,7649,15300,178,32,0,166,1754,5903,4723,6496,14,119,9,0,0,0,2020-11-03
MARTIN,16516,8777,7100,8677,6819,29,0,137,991,8938,3522,4002,5,40,9,0,0,0,2020-11-03
MCDOWELL,29898,15090,13640,27155,822,33,1,425,1887,6835,12660,10205,17,164,17,0,0,0,2020-11-03
MECKLENBURG,792282,395993,331055,402024,245094,2119,33,37377,143012,341357,170540,273692,463,5790,440,0,0,0,2020-11-03
MITCHELL,11139,5402,4953,9986,33,11,0,100,1109,1117,6650,3328,1,40,3,0,0,0,2020-11-03
MONTGOMERY,17029,8419,7534,11740,3240,43,0,620,2006,6241,5965,4714,5,83,21,0,0,0,2020-11-03
MOORE,74033,38193,32187,58236,7978,336,3,1394,7480,16507,30843,26064,31,528,60,0,0,0,2020-11-03
NASH,68677,35232,29090,34584,26610,331,4,1375,7148,31971,19887,16486,14,276,43,0,0,0,2020-11-03
NEW HANOVER,177353,85383,72760,132542,20590,384,10,3248,23827,52987,55122,67589,128,1431,96,0,0,0,2020-11-03
NORTHAMPTON,13939,7180,6009,5287,7803,32,0,51,817,9130,1531,3231,3,39,5,0,0,0,2020-11-03
ONSLOW,117223,58264,49212,78684,18940,413,18,6166,19168,26533,44518,44489,66,1459,158,0,0,0,2020-11-03
ORANGE,111900,53934,45613,76254,11810,257,2,3782,23577,52559,15041,43536,63,670,31,0,0,0,2020-11-03
PAMLICO,9774,4894,4319,7392,1540,27,0,82,815,3216,3699,2807,0,46,6,0,0,0,2020-11-03
PASQUOTANK,28723,14643,12234,15958,9862,43,1,306,2859,11681,6964,9855,23,181,19,0,0,0,2020-11-03
PENDER,44958,21790,19497,33206,6105,105,3,926,5539,11889,17791,14867,15,357,39,0,0,0,2020-11-03
PERQUIMANS,9760,4930,4323,7023,2037,20,2,40,678,3265,3137,3301,4,42,11,0,0,0,2020-11-03
PERSON,27784,13918,11833,17645,7086,125,2,377,2926,11205,7704,8738,12,117,8,0,0,0,2020-11-03
PITT,123553,62777,50327,65796,41526,245,2,2764,15984,53030,31597,37971,72,795,88,0,0,0,2020-11-03
POLK,16488,8545,7367,14512,664,10,1,218,1301,4047,6081,6244,10,92,14,0,0,0,2020-11-03
RANDOLPH,94919,46610,41916,77626,5830,306,5,3073,11152,17192,49442,27592,36,583,74,0,0,0,2020-11-03
RICHMOND,29392,15265,12864,17140,9457,419,0,423,2376,13935,6908,8409,9,104,27,0,0,0,2020-11-03
ROBESON,76791,41088,33247,21515,20578,26792,10,1766,7896,42688,11987,21804,18,223,71,0,0,0,2020-11-03
ROCKINGHAM,61624,32820,27920,43566,11441,111,0,952,6506,20223,23254,17767,19,312,49,0,0,0,2020-11-03
ROWAN,97444,47513,41849,69457,15807,195,2,2194,11983,25438,41365,30006,49,514,72,0,0,0,2020-11-03
RUTHERFORD,45949,22842,19868,37120,4225,66,0,658,4538,12176,19054,14439,18,233,29,0,0,0,2020-11-03
SAMPSON,38096,19694,16368,21998,10677,549,1,2110,4871,14580,14887,8434,9,160,26,0,0,0,2020-11-03
SCOTLAND,22041,11613,9061,9854,8466,1679,4,187,2038,11214,4232,6497,8,70,20,0,0,0,2020-11-03
STANLY,42963,20700,18497,33366,4363,83,1,471,5150,9629,20135,12961,16,180,42,0,0,0,2020-11-03
STOKES,31796,16580,15023,27623,1214,57,0,319,2902,6317,16480,8798,6,166,29,0,0,0,2020-11-03
SURRY,47194,23503,20468,40079,1772,53,1,1534,5289,11422,21410,14146,19,173,24,0,0,0,2020-11-03
SWAIN,10090,5123,4559,7659,125,1586,1,72,719,3398,2939,3690,7,53,3,0,0,0,2020-11-03
TRANSYLVANIA,26513,13289,11620,23290,833,49,0,211,2341,6345,8687,11316,11,146,8,0,0,0,2020-11-03
TYRRELL,2371,1171,1038,1438,692,7,0,37,234,1177,424,757,0,11,2,0,0,0,2020-11-03
UNION,168233,80645,72614,120049,19255,424,6,6926,28499,40412,69029,57645,72,982,93,0,0,0,2020-11-03
VANCE,29702,15528,12312,11682,15024,58,1,585,2937,18346,4883,6363,7,86,17,0,0,0,2020-11-03
WAKE,794495,377813,329976,481051,144456,1892,27,28973,167069,291512,188855,307047,422,6204,455,0,0,0,2020-11-03
WARREN,13531,6947,5859,5258,6692,548,1,81,1032,8641,2158,2685,0,44,3,0,0,0,2020-11-03
WASHINGTON,8316,4416,3545,3692,4050,11,0,55,563,5202,1293,1801,0,20,0,0,0,0,2020-11-03
WATAUGA,45166,22054,19389,38358,908,71,3,1111,5826,12022,13289,19330,44,459,22,0,0,0,2020-11-03
WAYNE,76192,38391,31946,41667,24538,139,0,2450,9848,30058,25426,20215,33,405,55,0,0,0,2020-11-03
WILKES,43934,21442,19339,38306,1619,48,0,748,3961,8229,23617,11875,11,180,22,0,0,0,2020-11-03
WILSON,57018,29789,23888,27397,23100,106,0,1435,6415,27794,14066,14889,15,219,35,0,0,0,2020-11-03
YADKIN,24725,12030,11031,21405,742,29,0,764,2549,3532,14061,6981,11,123,17,0,0,0,2020-11-03
YANCEY,14170,6927,6407,12879,79,21,0,91,1191,4435,5283,4379,5,61,7,0,0,0,2020-11-03
Totals,7361219,3650806,3102265,4700592,1518847,56094,372,227838,1085314,2623000,2231586,2452000,3619,46363,4651,0,0,0,2020-11-03
