District,district_pop,n_reg_voters,female,male,white,black,american_indian/alaska_native,native_hawaiian/pacific_islander,hispanic,non_hispanic,other_race,democrat,republican,unaffiliated,green,libertarian,constitution,justice_for_all,no_labels,we_the_people,County,female_percent_of_reg_voters,male_percent_of_reg_voters,white_percent_of_reg_voters,black_percent_of_reg_voters,american_indian/alaska_native_percent_of_reg_voters,native_hawaiian/pacific_islander_percent_of_reg_voters,hispanic_percent_of_reg_voters,non_hispanic_percent_of_reg_voters,other_race_percent_of_reg_voters,democrat_percent_of_reg_voters,republican_percent_of_reg_voters,unaffiliated_percent_of_reg_voters,green_percent_of_reg_voters,libertarian_percent_of_reg_voters,constitution_percent_of_reg_voters,justice_for_all_percent_of_reg_voters,no_labels_percent_of_reg_voters,we_the_people_percent_of_reg_voters,female_percent_of_pop,male_percent_of_pop,white_percent_of_pop,black_percent_of_pop,american_indian/alaska_native_percent_of_pop,native_hawaiian/pacific_islander_percent_of_pop,hispanic_percent_of_pop,non_hispanic_percent_of_pop,other_race_percent_of_pop,democrat_percent_of_pop,republican_percent_of_pop,unaffiliated_percent_of_pop,green_percent_of_pop,libertarian_percent_of_pop,constitution_percent_of_pop,justice_for_all_percent_of_pop,no_labels_percent_of_pop,we_the_people_percent_of_pop
1.0,733498,491721.0,254213.0,206173.0,231383.0,207465.0,2727.0,10.0,9438.0,482284.0,50135.0,252138.0,114022.0,123106.0,162.0,2021.0,274.0,0.0,0.0,0.0,"['BERTIE', 'EDGECOMBE', 'GATES', 'GREENE', 'HALIFAX', 'HERTFORD', 'MARTIN', 'NASH', 'NORTHAMPTON', 'PITT', 'VANCE', 'WARREN', 'WASHINGTON', 'WAYNE', 'WILSON']",0.5169862584677083,0.4192885803128197,0.47055749093490007,0.4219160865612817,0.005545827816993783,2.033673566921079e-05,0.019193811124601147,0.9808082225489658,0.10195822427758831,0.512766385816347,0.23188352744747528,0.2503574181293864,0.00032945511784121485,0.004110054278747501,0.0005572265573363757,0.0,0.0,0.0,0.3465762687832823,0.2810818843405163,0.3154514395403941,0.28284330700288207,0.0037178015481978137,1.363330234029268e-05,0.01286711074876823,0.6575123585885715,0.06835056128305735,0.3437473585476716,0.15544963994448519,0.16783413179040707,0.0002208594979127414,0.0027552904029731506,0.00037355248412401944,0.0,0.0,0.0
2.0,733499,646799.0,307578.0,268634.0,391624.0,117602.0,1540.0,22.0,23587.0,623212.0,136011.0,237320.0,153747.0,249967.0,344.0,5051.0,370.0,0.0,0.0,0.0,['WAKE'],0.4755387686128148,0.4153284095986543,0.6054802187387427,0.18182155507352363,0.0023809560620842024,3.401365802977432e-05,0.03646727963401304,0.9635327203659869,0.21028325646761978,0.3669146056193655,0.23770444914107783,0.38646782076039077,0.0005318499255564711,0.0078092266685631856,0.0005720478850462044,0.0,0.0,0.0,0.4193298150372393,0.3662363547871231,0.5339121116729539,0.16033014359937778,0.0020995256980582116,2.999322425797445e-05,0.032156826389674695,0.8496426034663987,0.18542765566142558,0.32354509004102255,0.20960764772685445,0.3407871040042318,0.00046898496112469137,0.006886171623955861,0.0005044314988841157,0.0,0.0,0.0
3.0,733499,513402.0,257277.0,219164.0,349699.0,102902.0,1119.0,39.0,13149.0,500253.0,59643.0,159000.0,177306.0,172800.0,244.0,3662.0,389.0,0.0,0.0,0.0,"['BEAUFORT', 'CAMDEN', 'CARTERET', 'CHOWAN', 'CRAVEN', 'CURRITUCK', 'DARE', 'DUPLIN', 'HYDE', 'JONES', 'LENOIR', 'ONSLOW', 'PAMLICO', 'PASQUOTANK', 'PERQUIMANS', 'PITT', 'TYRRELL']",0.5011219278460154,0.4268857542432636,0.681140704555105,0.20043163057409202,0.0021795785758528404,7.596386457395959e-05,0.025611509109820376,0.9743884908901796,0.1161721224303762,0.30969883249383523,0.3453551018500123,0.3365783538046209,0.0004752611014370805,0.007132812104354872,0.0007576908543402636,0.0,0.0,0.0,0.35075303442813144,0.29879250005794145,0.47675456953588213,0.1402892164815494,0.0015255644520306094,5.316980663913652e-05,0.017926404807641183,0.6820091097602041,0.08131299429174409,0.21676921168263352,0.241726300922019,0.23558314326263566,0.0003326521235884439,0.004992508510577383,0.0005303347380160027,0.0,0.0,0.0
4.0,733499,631778.0,305447.0,254979.0,357848.0,145546.0,1513.0,33.0,22501.0,609276.0,126839.0,289072.0,112428.0,225871.0,343.0,3788.0,275.0,0.0,0.0,0.0,"['CHATHAM', 'DURHAM', 'FRANKLIN', 'GRANVILLE', 'ORANGE', 'VANCE', 'WAKE']",0.48347204239463865,0.4035895520261864,0.566414151806489,0.23037522674103877,0.002394828563197832,5.2233537730025424e-05,0.035615358559494,0.9643830586060294,0.20076514218602104,0.4575531278392093,0.1779549145427666,0.35751640607935065,0.0005429122254969309,0.005995776997616251,0.0004352794810835452,0.0,0.0,0.0,0.4164245622693419,0.3476201058215485,0.4878643324667109,0.1984269917205068,0.0020627158319234244,4.4989836386961675e-05,0.03067625177403105,0.8306432592273473,0.17292320780260095,0.39410006012278137,0.15327628258525233,0.30793634347149756,0.0004676216327493289,0.005164287885873055,0.00037491530322468063,0.0,0.0,0.0
5.0,733499,514322.0,253354.0,222047.0,403379.0,51897.0,840.0,7.0,10256.0,504066.0,58199.0,134891.0,211573.0,164095.0,235.0,3152.0,376.0,0.0,0.0,0.0,"['ALEXANDER', 'ALLEGHANY', 'ASHE', 'BURKE', 'CALDWELL', 'CATAWBA', 'CLEVELAND', 'GASTON', 'RUTHERFORD', 'WATAUGA', 'WILKES']",0.4925980222506523,0.4317275947752575,0.7842927193470238,0.10090371401573334,0.0016332181007228934,1.3610150839357445e-05,0.01994081528692142,0.9800591847130786,0.11315673838568056,0.26226955098168075,0.41136292050505324,0.31905110028348,0.0004569122067498571,0.006128456492236381,0.0007310595307997714,0.0,0.0,0.0,0.34540469721158445,0.30272297576411145,0.5499380367253398,0.07075265269618636,0.001145195835304479,9.543298627537324e-06,0.013982295817717543,0.6872074808554612,0.07934434811772068,0.1839007278810196,0.2884434743605649,0.22371536975510534,0.0003203821682101816,0.004297211039142521,0.0005126114691362905,0.0,0.0,0.0
6.0,733498,573832.0,293869.0,236800.0,309472.0,176885.0,1385.0,19.0,19009.0,554823.0,86071.0,243303.0,147832.0,178697.0,315.0,3374.0,311.0,0.0,0.0,0.0,"['FORSYTH', 'GUILFORD']",0.5121167867947413,0.4126643338119868,0.5393076719318546,0.3082522410740426,0.0024135984051081153,3.3110736243360426e-05,0.033126420276317806,0.9668735797236822,0.14999337785275133,0.42399691895885905,0.2576224400172873,0.311409959709462,0.0005489411535083439,0.005879769688689373,0.0005419704721939523,0.0,0.0,0.0,0.40064049254394696,0.32283659941813064,0.4219125341855056,0.24115266844626707,0.0018882123741305362,2.590327444655609e-05,0.025915544418662353,0.7564069704348205,0.11734319657313312,0.33170233593002296,0.20154383515701474,0.2436230228303281,0.0004294490237192194,0.00459987620961475,0.00042399570278310237,0.0,0.0,0.0
7.0,733499,611479.0,300993.0,258717.0,432801.0,94242.0,3331.0,33.0,16278.0,595201.0,81072.0,185311.0,215015.0,206446.0,269.0,4016.0,422.0,0.0,0.0,0.0,"['BLADEN', 'BRUNSWICK', 'COLUMBUS', 'HARNETT', 'JOHNSTON', 'NEW HANOVER', 'PENDER', 'SAMPSON']",0.4922376729209016,0.42310038447763537,0.7077937263585503,0.15412140073493938,0.005447447909086003,5.396751155804206e-05,0.026620701610357837,0.9733792983896422,0.13258345748586622,0.3030537434646161,0.35163104538340645,0.33761748154883486,0.0004399169881549489,0.0065676826186999064,0.0006901299962876893,0.0,0.0,0.0,0.41035229768547743,0.35271622728865343,0.5900498841852545,0.12848279275091037,0.004541246818332404,4.4989836386961675e-05,0.022192259294150366,0.8114544123441204,0.11052775804738657,0.2526397445667956,0.29313605062856257,0.2814536897800815,0.0003667353329725058,0.005475126755455699,0.0005753245744029644,0.0,0.0,0.0
8.0,733498,545001.0,266796.0,222596.0,302991.0,143289.0,3432.0,70.0,24888.0,520114.0,95220.0,191429.0,169869.0,179129.0,244.0,3869.0,460.0,0.0,0.0,0.0,"['CABARRUS', 'CUMBERLAND', 'HARNETT', 'LEE', 'MONTGOMERY', 'MOORE', 'STANLY']",0.4895330467283546,0.4084322781059117,0.555945768906846,0.26291511391722217,0.006297236151860272,0.00012844013130251138,0.045665971255098615,0.95433586360392,0.1747152757517876,0.35124522707297784,0.31168566663180436,0.328676461144108,0.0004477056005401825,0.007099069542991664,0.0008440351485593605,0.0,0.0,0.0,0.3637310531180726,0.3034718567739789,0.41307679093876193,0.19535022590381979,0.004678949363188448,9.543311638204875e-05,0.03393056286452042,0.7090871413418987,0.1298163048842669,0.2609809433699887,0.23158754352431773,0.24421198149142875,0.0003326525771031414,0.005274724675459238,0.0006271319076534633,0.0,0.0,0.0
9.0,733499,553098.0,277698.0,235532.0,306322.0,131629.0,32027.0,40.0,19994.0,533103.0,83080.0,212364.0,156243.0,180656.0,247.0,3188.0,400.0,0.0,0.0,0.0,"['ANSON', 'HOKE', 'MECKLENBURG', 'MOORE', 'RICHMOND', 'ROBESON', 'SCOTLAND', 'UNION']",0.5020773895403707,0.4258413518038395,0.553829520265848,0.23798495022581892,0.05790474744077903,7.231991437322138e-05,0.03614910919945471,0.963849082802686,0.15020846215318082,0.38395365739886966,0.2824870095353807,0.326625661275217,0.000446575471254642,0.005763897175545744,0.0007231991437322138,0.0,0.0,0.0,0.3785935631814086,0.32110745890587444,0.41761747459778403,0.17945355072058722,0.04366331787773398,5.4533135014499e-05,0.027258387536997324,0.7267944468908615,0.11326532142511442,0.2895218671054766,0.21301051535175916,0.24629345097948327,0.0003367421087145313,0.00434629086065557,0.00054533135014499,0.0,0.0,0.0
10.0,733499,537100.0,266082.0,233779.0,407139.0,61322.0,826.0,10.0,15086.0,522014.0,67803.0,135913.0,224768.0,172973.0,200.0,2891.0,355.0,0.0,0.0,0.0,"['CATAWBA', 'FORSYTH', 'IREDELL', 'LINCOLN', 'ROCKINGHAM', 'STOKES', 'SURRY', 'YADKIN']",0.4954049525228077,0.43526159002048037,0.7580320238316887,0.11417240737292869,0.0015378886613293613,1.861850679575498e-05,0.028087879352075965,0.971912120647924,0.12623906162725748,0.25304971141314464,0.41848445354682556,0.3220498975982126,0.0003723701359150996,0.005382610314652765,0.0006609569912493018,0.0,0.0,0.0,0.36275714077319804,0.318717544263864,0.5550641514167027,0.08360202263397769,0.0011261092380494043,1.363328375362475e-05,0.020567171870718298,0.711676498536467,0.09243775383470189,0.18529404948064004,0.30643259227347275,0.2358189990715734,0.000272665675072495,0.003941382333172915,0.0004839815732536786,0.0,0.0,0.0
11.0,733499,590256.0,295489.0,257267.0,505987.0,19149.0,4372.0,40.0,9622.0,580634.0,60708.0,170632.0,195039.0,219858.0,456.0,3947.0,324.0,0.0,0.0,0.0,"['AVERY', 'BUNCOMBE', 'CHEROKEE', 'CLAY', 'GRAHAM', 'HAYWOOD', 'HENDERSON', 'JACKSON', 'MACON', 'MADISON', 'MCDOWELL', 'MITCHELL', 'POLK', 'RUTHERFORD', 'SWAIN', 'TRANSYLVANIA', 'YANCEY']",0.500611599034995,0.43585664525222956,0.8572331327424033,0.03244185573717167,0.00740695562603345,6.776720609362717e-05,0.016301401425822017,0.983698598574178,0.10285028868829796,0.2890813477541948,0.33043120273237375,0.3724790599333171,0.0007725461494673498,0.006686929061288661,0.0005489143693583801,0.0,0.0,0.0,0.40284853830748235,0.35073940114437785,0.6898264346645326,0.02610637505981603,0.00596047165708474,5.4533135014499e-05,0.013117945627737734,0.7915948079002153,0.08276493901150513,0.23262744734484983,0.26590220300232176,0.299738649950443,0.0006216777391652886,0.005381057097555688,0.0004417183936174419,0.0,0.0,0.0
12.0,733499,631927.0,315846.0,264051.0,320656.0,195488.0,1690.0,26.0,29812.0,602115.0,114067.0,272268.0,136023.0,218298.0,369.0,4618.0,351.0,0.0,0.0,0.0,['MECKLENBURG'],0.49981406080132673,0.41785047956488647,0.5074256994874408,0.30935218783182233,0.0026743595383644,4.114399289791384e-05,0.047176335241254135,0.9528236647587459,0.18050660914947456,0.43085356378189255,0.21525112869049748,0.34544812929341523,0.0005839282068973156,0.00730780612317562,0.0005554439041218368,0.0,0.0,0.0,0.43060181404473624,0.3599882208428369,0.43715942353022974,0.2665143374428595,0.0023040249543625825,3.544653775942435e-05,0.040643545526306106,0.8208804647313765,0.15551077779247144,0.37119069010319033,0.18544401560192994,0.2976118576848776,0.0005030681705087532,0.006295850437423909,0.0004785282597522287,0.0,0.0,0.0
13.0,733498,520504.0,256164.0,222526.0,381291.0,71431.0,1292.0,23.0,14218.0,506286.0,66466.0,139359.0,217721.0,160104.0,191.0,2786.0,344.0,0.0,0.0,0.0,"['ALAMANCE', 'CASWELL', 'CHATHAM', 'DAVIDSON', 'DAVIE', 'IREDELL', 'LEE', 'PERSON', 'RANDOLPH', 'ROWAN']",0.4921460738053886,0.42752024960422974,0.7325419209074282,0.13723429599004042,0.002482209550743126,4.418794091880178e-05,0.027315832347109725,0.9726841676528902,0.1276954643960469,0.2677385764566651,0.4182888123818453,0.30759417795060173,0.0003669520311083104,0.005352504495642685,0.00066089789895947,0.0,0.0,0.0,0.3492361260698734,0.30337642365759687,0.5198255482632537,0.09738404194694464,0.0017614226623658142,3.1356595382673165e-05,0.019383829267428133,0.690235010865742,0.09061510733498933,0.18999233808408475,0.29682562188308625,0.21827462378902193,0.0002603960746995902,0.0037982380320055404,0.0004689856005060682,0.0,0.0,0.0
